what,kind,bundleId,bundleVersion,description,time
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1418581190364
os,sysinfo,,,"win32",1418581190366
arch,sysinfo,,,"x86",1418581190366
ws,sysinfo,,,"win32",1418581190366
locale,sysinfo,,,"en_US",1418581190366
processors,sysinfo,,,"8",1418581190366
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1418581190366
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1418581190366
java.specification.name,sysinfo,,,"Java Platform API Specification",1418581190366
java.specification.vendor,sysinfo,,,"Oracle Corporation",1418581190366
java.specification.version,sysinfo,,,"1.7",1418581190366
java.vendor,sysinfo,,,"Oracle Corporation",1418581190366
java.version,sysinfo,,,"1.7.0_67",1418581190366
java.vm.info,sysinfo,,,"mixed mode, sharing",1418581190366
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1418581190366
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1418581190366
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1418581190366
java.vm.specification.version,sysinfo,,,"1.7",1418581190366
java.vm.vendor,sysinfo,,,"Oracle Corporation",1418581190366
java.vm.version,sysinfo,,,"24.65-b04",1418581190366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418581210273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418581222789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418581223781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418581879416
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1418581883086
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1418581884922
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1418581884983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1418581894109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418581899048
